"Crop","Season","Area-2020-21","Area-2021-22","Area-2022-23","Area-2023-24","Area-2024-25","Production-2020-21","Production-2021-22","Production-2022-23","Production-2023-24","Production-2024-25","Yield-2020-21","Yield-2021-22","Yield-2022-23","Yield-2023-24","Yield-2024-25"
"Rice","Kharif","403.58","410.38","404.03","407.34","434.13","1052.08","1110.01","1105.12","1132.59","1218.54","2607.00","2705.00","2735.00","2780.00","2807.00"
"Rice","Rabi","54.11","52.40","43.28","40.76","44.74","191.60","184.71","150.04","146.01","156.72","3541.00","3525.00","3467.00","3582.00","3503.00"
"Rice","Summer","","","31.01","30.18","35.36","","","102.40","99.65","115.48","","","3302.00","3302.00","3265.00"
"Rice","Total","457.69","462.79","478.32","478.28","514.23","1243.68","1294.71","1357.55","1378.25","1490.74","2717.00","2798.00","2838.00","2882.00","2899.00"
"Wheat","Rabi","311.25","304.59","314.01","318.33","327.61","1095.86","1077.42","1105.54","1132.92","1175.07","3521.00","3537.00","3521.00","3559.00","3587.00"
"Wheat","Total","311.25","304.59","314.01","318.33","327.61","1095.86","1077.42","1105.54","1132.92","1175.07","3521.00","3537.00","3521.00","3559.00","3587.00"
"Maize","Kharif","77.55","77.85","80.53","83.29","84.30","215.55","226.81","236.74","222.45","248.43","2779.00","2914.00","2940.00","2671.00","2947.00"
"Maize","Rabi","21.37","21.73","21.83","21.75","27.24","100.92","110.49","116.90","120.28","136.16","4723.00","5084.00","5355.00","5529.00","4999.00"
"Maize","Summer","","","5.08","7.37","8.64","","","27.21","33.92","38.22","","","5361.00","4603.00","4425.00"
"Maize","Total","98.92","99.58","107.44","112.41","120.17","316.47","337.30","380.85","376.65","422.81","3199.00","3387.00","3545.00","3351.00","3518.00"
"Barley","Rabi","5.92","4.53","6.28","5.51","6.05","16.56","13.71","19.13","16.99","18.44","2796.00","3025.00","3044.00","3082.00","3049.00"
"Barley","Total","5.92","4.53","6.28","5.51","6.05","16.56","13.71","19.13","16.99","18.44","2796.00","3025.00","3044.00","3082.00","3049.00"
"Jowar","Kharif","16.42","14.66","13.82","12.89","14.21","19.86","15.98","14.80","15.09","17.54","1210.00","1090.00","1071.00","1170.00","1234.00"
"Jowar","Rabi","27.36","23.34","21.37","27.36","25.14","28.26","25.52","23.22","31.89","30.86","1033.00","1093.00","1086.00","1165.00","1227.00"
"Jowar","Summer","","","0.16","0.51","0.48","","","0.13","0.40","0.40","","","811.00","789.00","830.00"
"Jowar","Total","43.78","38.01","35.35","40.76","39.84","48.12","41.51","38.14","47.37","48.80","1099.00","1092.00","1079.00","1162.00","1225.00"
"Bajra","Kharif","76.52","68.41","71.72","69.66","68.36","108.63","97.81","103.49","96.63","98.48","1420.00","1430.00","1443.00","1387.00","1441.00"
"Bajra","Summer","","","4.00","4.08","3.74","","","10.82","10.53","10.15","","","2705.00","2579.00","2717.00"
"Bajra","Total","76.52","68.41","75.72","73.75","72.10","108.63","97.81","114.31","107.16","108.63","1420.00","1430.00","1510.00","1453.00","1507.00"
"Ragi","Kharif","11.59","12.18","11.63","12.15","12.29","19.98","17.01","16.91","16.70","18.34","1724.00","1396.00","1454.00","1375.00","1492.00"
"Ragi","Total","11.59","12.18","11.63","12.15","12.29","19.98","17.01","16.91","16.70","18.34","1724.00","1396.00","1454.00","1375.00","1492.00"
"Small Millets","Kharif","4.44","4.29","4.28","4.80","4.42","3.47","3.67","3.84","4.49","4.38","781.00","857.00","898.00","935.00","992.00"
"Small Millets","Total","4.44","4.29","4.28","4.80","4.42","3.47","3.67","3.84","4.49","4.38","781.00","857.00","898.00","935.00","992.00"
"Shree Anna /Nutri Cereals","Kharif","108.98","99.55","101.46","99.50","99.28","151.95","134.47","139.04","132.90","138.74","1394.00","1351.00","1370.00","1336.00","1397.00"
"Shree Anna /Nutri Cereals","Rabi","27.36","23.34","21.37","27.36","25.14","28.26","25.52","23.22","31.89","30.86","1033.00","1093.00","1086.00","1165.00","1227.00"
"Shree Anna /Nutri Cereals","Summer","","","4.16","4.59","4.22","","","10.95","10.93","10.55","","","2634.00","2381.00","2502.00"
"Shree Anna /Nutri Cereals","Total","136.33","122.89","126.98","131.45","128.64","180.21","160.00","173.21","175.72","180.15","1322.00","1302.00","1364.00","1337.00","1400.00"
"Nutri/Coarse Cereals","Kharif","186.53","177.39","181.99","182.79","183.58","367.50","361.28","375.78","355.35","387.17","1970.00","2037.00","2065.00","1944.00","2109.00"
"Nutri/Coarse Cereals","Rabi","54.65","49.61","49.48","54.63","58.43","145.74","149.73","159.25","169.16","185.46","2667.00","3018.00","3218.00","3097.00","3174.00"
"Nutri/Coarse Cereals","Summer","","","9.24","11.96","12.85","","","38.17","44.85","48.77","","","4133.00","3750.00","3794.00"
"Nutri/Coarse Cereals","Total","241.18","227.00","240.70","249.38","254.86","513.24","511.01","573.19","569.36","621.40","2128.00","2251.00","2381.00","2283.00","2438.00"
"Cereals","Kharif","590.11","587.77","586.01","590.13","617.70","1419.58","1471.29","1480.90","1487.94","1605.71","2406.00","2503.00","2527.00","2521.00","2599.00"
